Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT-SMD_BH-18650-B1BA007,1,~,C6937126
"C1, C13, C15, C17, C18, C19, C2, C4, C5, C9",0603,10,100n,C14663
"C10, C11, C12, C7, C8",0603,5,22u,C59461
C14,0603,1,1u,C15849
C16,0603,1,2n2,C1604
C3,0603,1,10u,C19702
C6,0603,1,22p,C1653
"D1, D4",0603,2,LED BLUE,C2288
D2,0603,1,LED RED,C2286
D3,0603,1,LED GREEN,C12624
D5,0603,1,LED YELLOW,C111340
DS1,LCD_OLED_128X64_1.3_I2C,1,OLED_128X64_1.3_I2C,C2718488
IC1,SOT8,1,LM66200DRLR,C3235556
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Receptacle_USB2.0_16P,C2765186
J2,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,C2718488
J3,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Top_Bottom,C225519 
"L1, L2",1008,2,2u2,C354538
"Q1, Q2",SOT95P280X145-6N,2,FS8205,C908265
"R1, R10, R18, R4, R6, R8",0603,6,1k,C21190
R11,0603,1,10k,C25804
R12,0603,1,267k,C2998118
R13,0603,1,59k,C177513
R14,0603,1,560,C23204
"R15, R17",0603,2,47,C23182
R16,0603,1,2.2k,C4190
"R19, R2, R3",0603,3,5.1k,C23186
"R20, R21",0603,2,4.7k,C23162
R5,0603,1,1.2k,C22765
R7,0603,1,100,C22775
R9,PinSocket_1x02_P2.54mm_Vertical,1,GL5528,C49661
"SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,C778172
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
"U2, U9",SOT-23-6,2,USBLC6-2SC6,C7519
U3,SOT-23-6,1,DW01A,C351410
U4,SY8089AAAC_SGY,1,~,
U5,SON50P200X200X80-9N,1,MAX17048G_T10,C2682616
U6,PinSocket_1x03_P2.54mm_Horizontal,1,DHT11,C22438144
U7,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,1,CY8CMBR3102,C2759924
U8,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560
