"JLCPCB BOM Tool - BOM Matching","","","","","","","","","","","","","","","","","","","","",""
"BOM name：bom-JLCPCB Assembly Order.xlsx","","","","Download Time：2026-05-17 00:22:18","","","","* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.","","","","","","","","","","","","",""
"PCB Assembled Qty：2","","","","Est. Total Price：30.4661
(Pre-order parts require a quotation for final pricing.)","","","","","","","","","","","","","","","","",""
"Your BOM","","","","Matched Parts","","","","","","","Order Information","","","","","","","","","",""
"Designator","Comment","Footprint","JLCPCB Part #","Matches","Part # ","Manufacturer","Footprint","Description","Category","Warning","JLCPCB Part #","Product link","Source","Lib Type","MOQ","Availability","My Parts(JLCPCB Parts)","My Parts(Global sourcing & consigned parts)","Rec. Order Qty","Unit Price ($)","Total Price ($)"
"U3","DW01A","SOT-23-6","","Select by System","DW01A","PUOLOP","SOT-23-6","-40℃~+85℃ 1 2.5V 300mV~10V 3uA 4.3V Protection IC Support SOT-23-6L Battery Management ROHS","Battery Management","","C351410","https://jlcpcb.com/partdetail/PUOLOP-DW01A/C351410","In-stock","Extended","1","62748","0","0","6","0.0425","0.255"
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV","","Select by System","TYPE-C 16PIN 2MD(073)","SHOU HAN","USB_C_Receptacle_G-Switch_GT-USB-7010ASV","-25℃~+85℃ 1 16P 3A 5,000 times 5V Black Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS","USB Connectors","","C2765186","https://jlcpcb.com/partdetail/SHOUHAN-TYPE_C_16PIN_2MD_073/C2765186","In-stock","Extended","1","651728","0","0","3","0.0672","0.2016"
"R1,R10,R18,R4,R6,R8","1k","0603","","Unconfirmed","0603WAF1001T5E","UNI-ROYAL(Uniroyal Elec)","0603","-55℃~+155℃ 100mW 1kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount ROHS","Chip Resistor - Surface Mount","1.The comment (0603WAF1001T5E) of this part does not match the one (1k) provided in your BOM. Please confirm;","C21190","https://jlcpcb.com/partdetail/21904-0603WAF1001T5E/C21190","In-stock","Basic","1","18287044","0","0","22","0.0016","0.0352"
"U1","TP4056-42-ESOP8","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","","Select by System","TP4056-42-ESOP8","TOPPOWER(Nanjing Extension Microelectronics)","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","-40℃~+85℃ 1 1A 2uA 4.2V 4V~8V Charging IC Lithium Battery Support ESOP-8 Battery Management ROHS","Battery Management","","C16581","https://jlcpcb.com/partdetail/17264-TP4056_42ESOP8/C16581","In-stock","Extended","1","113194","0","0","2","0.1852","0.3704"
"J2","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical","","Unconfirmed","2.54-1*4P母","BOOMELE(Boom Precision Elec)","PinSocket_1x04_P2.54mm_Vertical","-40℃~+105℃ 1 1x4P 2.54mm 3A 4P Bronze Square Hole Through Hole Top 插件,P=2.54mm Female Headers ROHS","Female Headers","1.Multiple lines in the BOM have been matched to the same part. Please check if the matching is correct. ;","C2718488","https://jlcpcb.com/partdetail/2834502-2_54_1_4P/C2718488","In-stock","Extended","1","241065","0","0","4","0.0771","0.3084"
"L2","2u2","1008","","Select by System","CKCSA252010-2.2uH/M","CENKER","1008","1.5A 1.9A 155mΩ 2.2uH Magnetic Shielded Inductor ±20% 1008 Power Inductors ROHS","Power Inductors","","C354538","https://jlcpcb.com/partdetail/CENKER-CKCSA252010_2_2uHM/C354538","In-stock","Extended","1","1747","0","0","6","0.0603","0.3618"
"U7","CY8CMBR3102","JEITA_SOIC-8_3.9x4.9mm_P1.27mm","","Select by System","CY8CMBR3102-SX1IT","Infineon/Cypress Semicon","JEITA_SOIC-8_3.9x4.9mm_P1.27mm","-40℃~+85℃ 1.71V~5.5V 2 22uA Capacitive Touch SOIC-8 Touch Sensors ROHS","Touch Sensors","","C2759924","https://jlcpcb.com/partdetail/2879334-CY8CMBR3102SX1IT/C2759924","In-stock","Extended","1","212","0","0","2","2.0873","4.1746"
"U4","MT3420SP","SOIC-8_3.9x4.9mm_P1.27mm","","Select by System","MT3420SP","XI'AN Aerosemi Tech","SOIC-8_3.9x4.9mm_P1.27mm","-40℃~+85℃@(TA) 1 1.5MHz 2.3V~6V 2A 40uA 600mV~6V Adjustable Buck Buck Built-in Yes SOIC-8 DC-DC Converters ROHS","DC-DC Converters","","C88265","https://jlcpcb.com/partdetail/XI_AN_AerosemiTech-MT3420SP/C88265","In-stock","Extended","1","4","0","0","2","0.2041","0.4082"
"J3","Conn_02x04_Top_Bottom","PinHeader_2x04_P2.54mm_Vertical","","Select by System","A2541WV-2x4P","CJT(Changjiang Connectors)","PinHeader_2x04_P2.54mm_Vertical","-40℃~+105℃ 2 2.54mm 2.54mm 2.54mm 250V 2x4P 3A 3mm 6mm 8P Black Brass Gold Pin Header Through Hole 插件,P=2.54mm Pin Headers ROHS","Pin Headers","","C225519","https://jlcpcb.com/partdetail/225802-A2541WV2x4P/C225519","In-stock","Extended","1","695","0","0","2","0.1506","0.3012"
"BT1","~","BAT-SMD_BH-18650-B1BA007","","Select by System","BH-18650-B1BA007","MYOUNG","BAT-SMD_BH-18650-B1BA007","-25~85℃ Battery holder Gold plating Phosphor bronze - ROHS","Battery connector","","C6937126","https://jlcpcb.com/partdetail/MYOUNG-BH_18650B1BA007/C6937126","In-stock","Extended","1","585","0","0","2","1.7605","3.521"
