Designator,Mid X,Mid Y,Rotation,Layer
C1,120.25,-109.775,90.0,top
C10,167.87,-97.005,270.0,top
C11,166.27,-97.005,270.0,top
C12,164.67,-97.005,270.0,top
C13,183.6,-120.255,0.0,top
C14,186.775,-120.255,0.0,top
C15,180.25,-118.25,180.0,top
C16,180.25,-116.055,180.0,top
C17,144.03,-92.455,90.0,top
C18,146.83,-92.505,90.0,top
C19,167.0,-110.042,0.0,top
C2,124.7,-109.7,270.0,top
C3,113.005,-100.73,0.0,top
C4,113.93,-122.48,180.0,top
C5,144.005,-128.0,0.0,top
C6,140.805,-105.4,90.0,top
C7,128.205,-105.045,90.0,top
C8,144.305,-105.375,90.0,top
C9,107.73,-97.93,270.0,top
D1,119.75,-97.1925,90.0,top
D2,105.93,-105.73,0.0,top
D3,105.9675,-100.48,0.0,top
D4,190.8,-117.055,0.0,top
D5,163.8575,-99.58,0.0,top
DS1,143.78,-114.43,270.0,top
IC1,114.93,-97.24,180.0,top
J1,107.255,-114.23,270.0,top
J2,137.22,-92.28,90.0,top
J3,153.84,-92.15,90.0,top
L1,122.5,-109.7605,90.0,top
L2,138.455,-105.4125,270.0,top
Q1,119.435,-130.03,0.0,top
Q2,114.435,-130.03,180.0,top
R1,117.5,-97.155,270.0,top
R10,143.23,-130.425,270.0,top
R11,145.03,-130.375,270.0,top
R12,142.555,-105.375,270.0,top
R13,132.955,-101.27,180.0,top
R14,190.775,-115.455,0.0,top
R15,190.425,-106.5,0.0,top
R16,190.825,-118.655,180.0,top
R17,190.425,-104.9,0.0,top
R18,167.045,-99.58,0.0,top
R19,163.5,-110.0,180.0,top
R2,114.255,-113.98,180.0,top
R20,190.325,-97.45,180.0,top
R21,190.325,-99.25,180.0,top
R3,114.18,-115.73,0.0,top
R4,105.93,-103.98,0.0,top
R5,119.43,-105.73,270.0,top
R6,105.93,-102.23,0.0,top
R7,113.93,-120.48,0.0,top
R8,117.605,-127.23,0.0,top
R9,143.77,-136.0,90.0,top
SW1,164.968,-121.255,180.0,top
SW2,165.148,-113.949,180.0,top
U1,114.63,-104.43,90.0,top
U2,114.7925,-111.43,180.0,top
U3,113.88,-125.8675,270.0,top
U4,132.74745,-105.449999,180.0,top
U5,110.915,-97.23,0.0,top
U6,182.04,-137.0,270.0,top
U7,185.5,-116.655,0.0,top
U8,178.68,-101.98,0.0,top
U9,138.9675,-96.33,0.0,top
